id,sex,year,week,dist_week(km),time_week(s),elevation_week(m),nb_run_week,calories_week
18933919,M,2017,40,12.154399999999999,3741,367.2,1,0
18933919,M,2017,41,24.597099999999998,6928,104.8,2,827.1
18933919,M,2017,45,28.535200000000003,8166,635.8,2,2547.6
18933919,M,2017,44,39.2184,11307,208.2,3,1197.1
18933919,M,2017,46,9.0505,2478,2.1,1,748.4
18933919,M,2017,43,41.4655,12570,511,2,2612.3
18933919,M,2017,47,35.2612,11482,1043,2,1177.4
18933919,M,2017,42,29.379,10528,1191.2,3,1699.6
18933919,M,2017,48,36.8348,11785,1030.8,2,3460
18933919,M,2017,50,39.5844,12315,714.5,2,0
18933919,M,2017,49,36.9135,10789,480.8,3,0
18933919,M,2018,0,43.6268,13836,885.7,3,0
18933919,M,2018,1,11.9276,4000,326.3,1,0
18933919,M,2018,2,23.6296,6863,183.5,2,0
18933919,M,2018,3,65.0592,17288,884.1,4,0
18933919,M,2018,4,26.3847,7865,645.9,2,0
18933919,M,2018,5,31.3492,8884,633.1,2,0
18933919,M,2018,6,33.016600000000004,9188,331.6,2,0
18933919,M,2018,14,3.0116,980,16,1,0
18933919,M,2018,15,17.9518,5568,106,3,0
18933919,M,2018,16,17.823700000000002,5126,50,2,0
18933919,M,2018,17,29.2597,8797,56,3,0
18933919,M,2018,18,19.1436,5686,56,2,0
18933919,M,2018,19,32.7422,9580,88,3,0
18933919,M,2018,20,26.1322,7244,103,2,0
18933919,M,2018,21,48.105599999999995,13576,153,4,0
18933919,M,2018,25,44.7222,12995,481,5,2738
18933919,M,2018,24,56.4918,15304,219,4,3191
18933919,M,2018,23,47.5199,13440,189,4,2760
18933919,M,2018,22,39.7913,12851,456,4,856
18933919,M,2018,26,38.092400000000005,10755,564,3,2228
18933919,M,2018,27,49.6721,14244,859,4,2908
18933919,M,2018,28,40.2249,10679,260,3,2337
18933919,M,2018,29,28.2337,7622,84,2,1579
18933919,M,2018,30,39.8641,11284,328,3,2341
18933919,M,2018,31,40.5382,10539,76,3,2181
18933919,M,2018,32,39.1457,11217,157,3,2200
18933919,M,2018,33,35.6933,9562,322,3,2004
18933919,M,2018,34,41.2583,10723,87,4,2259
18933919,M,2018,35,44.9461,11607,454,5,2459
18933919,M,2018,36,41.1949,11079,537,3,2293
18933919,M,2018,37,51.1972,13696,503,4,2773
18933919,M,2018,38,55.2818,14740,562,4,2949
18933919,M,2018,39,21.065199999999997,5612,99,3,1190
18933919,M,2018,40,30.360500000000002,7455,154,2,1689
18933919,M,2018,41,43.893100000000004,10824,267,3,2552
18933919,M,2018,42,22.788,6241,383,3,1230
18933919,M,2019,1,64.5102,16741,316,5,3804
18933919,M,2019,0,33.3579,8758,310,3,2058
18933919,M,2019,2,68.8643,19658,513,6,3663
18933919,M,2019,3,72.23349999999999,18577,496,5,3818
18933919,M,2019,4,74.24340000000001,20311,472,5,4105
18933919,M,2019,5,79.9925,20671,207,5,3154
18933919,M,2019,6,8.534600000000001,2589,93,1,458
18933919,M,2019,7,28.527500000000003,8617,315,3,1850
18933919,M,2019,8,42.2948,10994,378,4,2358
18933919,M,2019,9,37.260400000000004,9293,72,3,2097
18933919,M,2019,11,12.0065,3398,21,1,780
18933919,M,2019,14,5.4581,3134,673,1,588
18933919,M,2019,15,13.8568,5964,984,2,973
18933919,M,2019,16,33.1018,9174,233,3,1881
18933919,M,2019,17,32.3672,8849,333,3,1760
18933919,M,2019,18,54.782399999999996,15995,1007,6,3224
18933919,M,2019,19,33.719,10878,734,3,2129
18933919,M,2019,20,43.6271,13092,936,4,2751
18933919,M,2019,21,24.3705,6712,373,2,1403
18933919,M,2019,22,41.5116,11084,474,3,2446
18933919,M,2019,23,53.6582,14007,534,4,3103
18933919,M,2019,24,41.7361,11489,647,3,2522
18933919,M,2019,25,24.4342,6460,184,2,1397
18933919,M,2019,26,57.481,15468,395,4,3187
18933919,M,2019,27,45.0248,12691,547,3,2607
18933919,M,2019,28,58.8669,15925,322,5,3053
18933919,M,2019,29,51.4213,14200,513,4,2881
18933919,M,2019,30,57.068599999999996,17046,1074,5,3224
18933919,M,2019,31,68.8788,18299,552,6,3609
18933919,M,2019,32,62.704499999999996,18402,1002,5,3612
18933919,M,2019,33,63.684999999999995,16809,410,5,3506
18933919,M,2019,34,68.5437,18050,421,6,3665
18933919,M,2019,35,93.30199999999999,24357,763,6,4989
18933919,M,2019,36,87.4673,23236,558,6,4809
18933919,M,2019,37,91.52420000000001,23915,1073,8,4844
18933919,M,2019,38,100.4017,27637,725,8,5228
18933919,M,2019,39,50.1903,14323,608,5,3001
18933919,M,2019,40,73.527,18476,567,6,3605
18933919,M,2019,41,52.3742,13584,714,4,2863
18933919,M,2019,42,68.3709,17656,532,5,3576
18933919,M,2019,43,92.672,25803,1046,7,5349
18933919,M,2019,44,81.6927,21172,952,6,4572
18933919,M,2019,45,47.9744,12706,522,4,2830
18933919,M,2019,47,45.0099,11347,288,3,2534
18933919,M,2019,46,81.65520000000001,20709,544,5,4252
18933919,M,2019,49,59.369,15003,537,4,3461
18933919,M,2019,48,53.542,14168,529,4,3049
18933919,M,2019,50,71.6216,18622,737.8,5,3505
18933919,M,2020,2,64.386,16899,688,5,3706
18933919,M,2020,1,46.1328,13003,370,4,2670
18933919,M,2020,3,69.4639,17836,540,5,3733
18933919,M,2020,4,74.4373,19121,612,5,4147
18933919,M,2020,6,85.7702,23165,1115,6,4952
18933919,M,2020,5,71.6662,18594,611,5,4069
18933919,M,2020,7,94.3428,24686,818,6,5533
18933919,M,2020,8,63.0664,17189,972,4,3461
18933919,M,2020,9,93.515,24416,709,6,5049
18933919,M,2020,15,39.6104,10642,411,3,2416
18933919,M,2020,11,76.9781,21519,818,6,4598
18933919,M,2020,16,52.1039,14094,532,4,3044
18933919,M,2020,10,98.6761,26585,894,6,5142
18933919,M,2020,20,27.5606,7999,278,3,1737
18933919,M,2020,19,7.3451,2212,65,1,462
18933919,M,2020,21,31.924500000000002,9073,351,3,1897
18933919,M,2020,22,31.131,8603,293,3,1778
18933919,M,2020,23,37.659,10344,319,3,2161
18933919,M,2020,24,38.9155,11207,370,3,2200
18933919,M,2020,25,48.5734,13731,482,4,2899
18933919,M,2020,26,36.857299999999995,10056,349,3,2046
18933919,M,2020,27,25.498399999999997,6907,241,2,1438
18933919,M,2020,28,25.2828,7668,253,2,1578
18933919,M,2020,29,12.192200000000001,3526,119,1,781
18933919,M,2020,30,40.1224,11427,306,3,2348
18933919,M,2020,31,12.1446,4850,285,1,1109
18933919,M,2020,33,48.2501,13737,459,4,2779
18933919,M,2020,34,50.5285,13578,446,4,2488
18933919,M,2020,36,53.5169,14602,453,4,2851
18933919,M,2020,35,60.9717,17103,560,5,3324
18933919,M,2020,38,41.6866,11386,375,3,2149
18933919,M,2020,37,55.316500000000005,15221,448,4,2836
18933919,M,2020,39,61.4744,17100,557,5,3419
18933919,M,2020,40,12.7485,3694,133,1,669
18933919,M,2020,41,65.6277,17912,636,5,3771
18933919,M,2020,42,69.6132,18939,705,5,3920
18933919,M,2020,43,72.8525,19334,597,5,3797
18933919,M,2020,44,73.894,20065,658,5,3994
18933919,M,2020,45,80.6491,21944,904,6,4693
18933919,M,2020,46,75.6058,20068,712,6,4169
18933919,M,2020,47,68.027,18111,684,7,3764
18933919,M,2021,12,52.2908,15697,1334,5,3432
18933919,M,2021,13,59.913399999999996,15713,430,5,3478
18933919,M,2021,14,58.048500000000004,15322,611,5,3218
18933919,M,2021,15,54.0548,15311,1015,4,2952
18933919,M,2021,16,42.0173,13025,1067,3,2767
18933919,M,2021,17,53.2436,14186,441,4,2911
18933919,M,2021,18,62.283,17069,664,4,3752
18933919,M,2021,19,53.2929,14419,472,4,2673
18933919,M,2021,20,65.437,18189,936,5,3406
18933919,M,2021,21,55.3257,14193,376,4,2862
18933919,M,2021,22,57.5349,15290,482,4,3058
18933919,M,2021,23,41.2087,10940,271,3,2268
18933919,M,2021,24,68.61240000000001,17214,316,6,3779
18933919,M,2021,25,58.398700000000005,15108,266,4,2896
18933919,M,2021,26,60.7385,15541,273,4,3120
18933919,M,2021,27,63.680899999999994,16360,267,4,3250
18933919,M,2021,28,78.4337,20375,290,5,4036
18933919,M,2021,29,65.2507,17575,529,5,3654
18933919,M,2021,30,42.2724,11297,279,3,2410
18933919,M,2021,31,74.78110000000001,19194,305,5,4273
18933919,M,2021,32,69.8408,17863,350,7,3961
18933919,M,2021,33,56.5492,14688,372,4,3137
18933919,M,2021,34,66.318,18059,678,5,3871
18933919,M,2021,35,72.0196,18743,786,5,4028
18933919,M,2021,36,57.6188,16532,1183.3,5,3460
18933919,M,2021,37,64.0212,15971,580.3,4,3491
18933919,M,2021,38,76.8891,20968,409,5,4087
18933919,M,2021,39,54.0327,14837,387,5,2943
18933919,M,2021,40,34.0239,8112,197,2,1995
18933919,M,2021,41,67.4724,18298,672,5,4022
18933919,M,2021,42,74.03659999999999,19486,614,5,4077
18933919,M,2021,43,94.44669999999999,25642,1029,7,5440
18933919,M,2021,44,96.5072,25324,412,6,5179
27149855,F,2019,0,47.071400000000004,21926,1331,5,2970
27149855,F,2019,1,20.1206,6706,397,2,1104
27149855,F,2019,4,38.459,17246,1864,4,2605
27149855,F,2019,5,41.7749,16078,1369,4,2499
27149855,F,2019,6,47.0858,19865,1477,5,2892
27149855,F,2019,7,58.2114,38374,3911.2,4,3950
27149855,F,2019,8,61.116,22417,1507,5,3261
27149855,F,2019,3,11.4147,3750,179,1,667
27149855,F,2019,2,30.632,12868,1137,4,2064
27149855,F,2019,9,37.6771,14932,1019,4,2379
27149855,F,2019,11,29.401899999999998,8952,289,4,1597
27149855,F,2019,13,21.7448,12541,1120,3,1166
27149855,F,2019,10,74.3162,26966,1643,8,4084
27149855,F,2019,16,11.918199999999999,7490,101,3,626
27149855,F,2019,17,0,1800,0,1,0
27149855,F,2019,14,63.8998,20983,1254,6,3710
27149855,F,2019,19,0,2280,0,1,0
27149855,F,2019,12,25.7797,7772,133,2,1519
27149855,F,2019,25,37.4105,26681,2000,5,3483
27149855,F,2019,26,27.1333,13301,908,4,1853
27149855,F,2019,15,55.2358,23591,2758,4,3902
27149855,F,2019,27,59.7333,36979,2888,6,3523
27149855,F,2019,28,56.7425,27518,1877,7,3833
27149855,F,2019,29,41.8922,21340,2871,3,3146
27149855,F,2019,33,11.1606,7412,823,2,866
27149855,F,2019,32,2.3272,1055,48,1,141
27149855,F,2019,34,11.6861,4566,52,4,645
27149855,F,2019,36,6.616,4647,811,1,968
27149855,F,2019,35,12.1079,4717,188,3,713
27149855,F,2019,37,22.8823,12200,1147.4,5,1436
27149855,F,2019,38,23.0675,10892,920,4,1442
27149855,F,2019,39,32.360600000000005,11181,576,4,1926
27149855,F,2019,40,28.596600000000002,11623,1013,3,1804
27149855,F,2019,41,25.6333,8518,392,3,1486
27149855,F,2019,42,20.6162,6974,322,2,1167
27149855,F,2019,45,18.2183,13835,1662,2,888
27149855,F,2019,46,5.653899999999999,3968,562,1,235
27149855,F,2019,47,17.39,11295,1729,2,789
27149855,F,2019,48,6.4712,4878,562,1,297
27149855,F,2019,50,21.6856,18549,2171,2,1631
27149855,F,2019,51,24.9709,18916,2553.2,3,2109
27149855,F,2019,52,23.359,15977,2022.8,2,2064
27149855,F,2020,0,6.668,5017,788,1,734
27149855,F,2020,2,55.2048,23679,2227.8,3,1465
27149855,F,2020,1,27.464100000000002,15514,1869.2,3,334
27149855,F,2020,4,9.2005,6717,897,1,459
27149855,F,2020,3,42.589000000000006,41417,3642,3,3599
27149855,F,2020,5,11.0144,10357,1355,1,1179
27149855,F,2020,7,31.1387,10014,432,1,532
27149855,F,2020,8,27.765800000000002,10336,423,3,707
27149855,F,2020,15,2.3758000000000004,1147,40,1,201
27149855,F,2020,16,7.3503,3052,92,3,427
27149855,F,2020,17,18.769099999999998,6637,241,4,1032
27149855,F,2020,18,16.377,5482,238,3,956
27149855,F,2020,20,30.156399999999998,13657,1394,3,1938
27149855,F,2020,19,41.664,16481,1261,6,2066
27149855,F,2020,22,28.2237,8427,108,3,1554
27149855,F,2020,21,24.517000000000003,12651,1207,2,1338
