average_cadence;average_heartrate;average_speed;average_temp;calories;distance;max_heartrate;max_speed;moving_time;total_elevation_gain
82.2;0;3.041;0;2704.2;27668.9;0;6.6;9098;1030.8
81.7;0;3.212;0;2612.3;29510.5;0;4.7;9189;439.6
83;158.6;3.564;20;0;15367.2;179;4.6;4312;66
82.6;0;3.418;0;0;14275.2;0;11.3;4177;364.9
82.9;0;3.482;0;0;15030;0;5.5;4316;104.2
82.6;0;3.411;0;755.8;9165.9;0;5.8;2687;0
82.3;0;3.146;0;0;13085.9;0;12.8;4160;247.9
81.5;0;3.405;0;0;11950.9;0;4.8;3510;81.3
82.5;0;3.602;0;0;10364.1;0;6.3;2877;0
81.5;0;3.029;0;0;9509.6;0;4.5;3139;181.7
82.3;0;3.483;0;0;11678.7;0;6.1;3353;102.2
83.4;141.8;2.735;15;0;7830.2;161;3.8;2863;3
80.5;167.7;3.35;29;0;8793.8;178;4.6;2625;22
83.1;0;3.609;0;816.2;9873.7;0;6.7;2736;3.6
84.5;144.7;3.568;24;0;8996;159;5.8;2521;26
81.5;153.1;3.194;23;0;3452.9;179;4.2;1081;66
84.4;153.9;3.389;21;0;8827.7;165;5.4;2605;24
82;0;3.591;0;0;14015.4;0;5.5;3903;328.7
80.5;0;2.982;0;0;11927.6;0;4.5;4000;326.3
83.1;157.6;3.599;21;0;15386.9;167;5.3;4275;66
83.6;0;3.627;0;0;11576.3;0;8.5;3192;51.7
81.8;0;3.105;19;0;8986.9;0;4.5;2894;121
82.9;0;3.652;0;748.4;9050.5;0;6.8;2478;2.1
81.2;0;3.115;0;0;19568.6;0;5.1;6282;600.1
81.8;0;3.669;0;0;13001.5;0;6.5;3544;109.9
64.1;0;1.447;0;883.4;5230.1;0;3.7;3615;822.7
81.9;0;3.295;0;0;14548.6;0;6.7;4415;103.9
82.4;0;3.536;0;0;11955;0;8.7;3381;71.4
81.3;0;3.122;0;0;12369.3;0;4.5;3962;317.2
84.1;151.5;3.618;16;0;11182.3;168;5.3;3091;40
84.5;151.4;3.672;20;0;10765;174;5.2;2932;37
82.3;0;3.72;0;0;9679.9;0;6.3;2602;6.1
79.2;146.4;3.064;24;0;5705.1;160;5.8;1862;18
82.9;0;3.428;0;1177.4;14115.7;0;4.9;4118;106.9
82.2;0;3.514;0;0;11154.3;0;5.5;3174;72.1
82.5;0;3.591;0;0;18008.5;0;7.3;5015;220.8
83.9;164.9;3.555;20;0;13704;182;4.6;3855;52
83.2;0;3.418;0;1285.3;14271.7;0;11.5;4175;334.7
83.4;159.1;3.652;20;0;11012;179;4.7;3015;35
83.3;0;3.614;0;827.1;10017.3;0;6.2;2772;4.6
82.3;161.3;3.773;25;0;13896.7;179;5.4;3683;50
81;0;2.965;0;0;11957.9;0;4.3;4033;323.1
82.4;0;3.508;0;0;14579.8;0;5.8;4156;100.2
79.3;120.3;3.073;23;0;3011.6;157;6.3;980;16
82.3;0;3.07;0;0;28008.1;0;4.6;9123;662.8
83.8;150;2.962;19;0;8026.2;163;4.2;2710;1
83.6;0;3.77;20;0;11004.5;0;5.7;2919;35
83.4;0;3.574;0;1262.3;14263.5;0;5.7;3991;301.1
82.1;0;3.371;0;0;14456.9;0;4.5;4288;103.6
82.6;0;3.476;0;1197.1;14397.4;0;4.7;4142;104.6
84.1;161.2;3.068;31;0;7961.3;183;4.1;2595;16
83.1;0;3.537;0;0;20194.9;0;5.1;5710;561
84.3;155.6;3.731;24;0;10304.8;168;4.9;2762;13
79.7;0;2.563;26;0;9499.4;0;4.6;3706;279
80.7;143.7;3.096;23;0;7676.1;175;4.6;2479;1
83.6;0;3.613;26;856;13628.9;0;5.6;3772;55
82.2;155.5;3.528;29;960;16416.3;171;5.8;4653;86
82.2;0;3.596;0;0;15008.1;0;4.8;4173;110.8
83.3;0;3.513;0;0;14147.7;0;5.3;4027;226.8
81.5;0;3.249;0;0;12154.4;0;5.8;3741;367.2
84.3;157.3;3.507;23;0;11124.7;177;4.5;3172;40
82.4;149.5;3.423;29;815;13730.9;161;4.3;4011;55
82.2;164.4;3.742;28;644;10574.8;181;4.9;2826;82
82.9;157.2;3.726;27;435;7694.5;174;5.6;2065;12
84.3;147.8;3.71;22;607;11363.9;160;4.6;3063;44
83.8;146.2;3.816;24;568;11213.8;159;4.8;2939;58
81.5;153.8;3.356;29;569;9500.7;171;5.9;2831;220
84.3;160.7;3.061;26;625;8525.9;177;4.8;2785;1
85.1;160.2;3.803;25;1010;17237.8;173;6.2;4533;71
84.3;146.5;3.779;25;586;11729.9;162;5.3;3104;37
83.3;146.9;3.014;26;459;7086.2;163;4.4;2351;10
83.6;157.2;3.773;27;780;13793.2;175;5.6;3656;56
83.1;0;3.376;24;631;9866;0;5.3;2922;157
83.1;160.8;3.68;29;980;16457.9;179;5;4472;202
84;162.7;3.753;27;1142;19013.3;183;4.9;5066;136
84.2;153.1;3.623;29;835;14215.3;169;6;3924;84
85;149.4;3.791;25;744;14018.4;173;5.5;3698;0
84.5;162.1;3.81;29;827;14108.8;180;5.2;3703;75
83.8;156.9;3.657;28;754;13038.2;178;5.6;3565;129
81.9;142.1;3.163;29;494;8596.3;170;4.5;2718;233
85.8;156.2;3.743;29;748;13225.2;179;5.9;3533;135
83.5;159.9;3.941;28;625;11076.9;179;5.9;2811;5
81.7;132.7;3.052;26;492;9924.2;158;5.5;3252;355
83;157.3;3.662;30;845;14129.4;179;5.1;3858;124
85.7;156;3.888;26;903;16092;171;5.3;4139;79
84.5;162.6;3.914;26;744;12870.3;178;5.3;3288;1
83.3;134.2;2.627;27;581;9534.5;162;4.4;3630;70
84;138.7;3.183;25;373;6565.7;162;4.8;2063;191
86.3;163.5;3.923;28;935;16120.6;173;5.6;4109;123
87.5;153.6;3.837;22;696;13007;178;5.7;3390;8
83;148.4;3.016;30;749;12008.6;173;4.4;3981;251
84.5;157.3;3.916;29;368;6418.5;175;5.5;1639;63
85.2;157.4;3.819;27;765;13746.7;173;5.7;3600;2
85.5;148.4;3.855;22;651;12396.1;177;4.8;3216;2
87.2;150.5;3.921;24;716;13519.2;168;5.7;3448;8
85;157.8;3.806;31;902;16009.6;175;5.1;4206;72
87.2;148.5;3.892;21;628;12132.5;165;6;3117;2
80.5;154.4;3.1;29;649;9657.7;169;4.8;3115;363
84.9;156.3;3.743;25;458;8018.4;174;7.3;2142;7
85;164;3.998;27;446;7552.9;177;6.1;1889;130
85.6;141.5;3.893;21;400;8043.4;178;7.7;2066;133
84.2;136.9;3.654;21;364;7337;159;6.2;2008;178
82.1;0;2.871;0;0;21145.5;0;4.8;7364;936.1
83.8;148.4;3.204;30;733;11952.3;173;5.9;3730;393
86.2;144.5;4.016;23;636;13111.4;164;6.1;3265;13
86.2;141;3.828;24;530;10805.1;161;5.8;2823;3
85.4;159.1;3.933;29;520;9015.2;172;5;2292;130
86;160.4;3.971;26;510;8930.6;180;5.8;2249;7
85.1;148;4.091;24;629;12367.5;161;5.4;3023;7
83.8;148.6;3.42;21;1094;19009.4;169;5.2;5558;363
87.1;159.2;3.996;24;791;13994.4;174;5.5;3502;6
86.2;168.6;4.284;21;798;14011.5;178;5.4;3271;8
83.5;138.8;3.338;23;583;11897.7;172;6.4;3564;9
82.8;146.4;3.339;26;294;4550.6;160;4.6;1363;79
84.8;161.8;3.952;28;405;6722.2;175;7.4;1701;15
87.6;155.9;4.34;16;1066;21127.5;172;5.7;4866;56
82.2;163.5;3.566;23;623;9233;179;4.7;2589;98
85.7;167.9;4.315;21;680;12034.2;179;5.1;2789;6
83.9;158.9;3.804;19;745;12316.6;178;5;3238;120
86.1;164.7;4.074;19;1127;19542.3;179;4.9;4797;141
85.3;148;4.164;18;527;10371.3;168;5.4;2491;140
82.1;146.1;3.199;21;424;6631.2;163;5.3;2073;64
83.5;129.2;3.45;17;279;5785.5;144;4.8;1677;179
82.5;128.7;3.433;23;320;6671;147;4.8;1943;77
86.1;157.5;4.078;20;754;13773;179;6.1;3377;3
84.7;143.9;3.843;17;491;9792.4;164;5.5;2548;5
84.5;153.1;3.44;22;1110;18591.5;176;6.1;5405;355
86.3;145.9;4.046;23;765;16246.3;161;6.9;4015;127
85;170.2;3.271;19;435;8010.4;190;5;2449;79
87;159.2;3.95;30;924;16131.2;175;5.5;4084;131
77.8;160.6;2.365;13;758;12362.6;186;6.2;5227;623
84.3;155.3;2.821;11;360;6858;178;4.4;2431;181
86.2;170;3.241;15;1187;22308.7;195;9.8;6884;145
80.6;159.3;2.896;22;0;7817.5;174;3.8;2699;2
83.5;160.9;3.145;18;397;7644.7;190;4.9;2431;79
46.3;146.6;1.397;18;448;4635;188;7.3;3318;435
84.6;175.1;3.288;19;718;12274.9;195;4.6;3733;243
83.6;172.2;3.11;12;747;12827.2;198;4.8;4125;180
86;157.7;3.124;16;458;8573.5;180;4;2744;82
72.3;169.4;1.56;17;599;5155;193;5.8;3304;567
80.4;171.4;2.684;16;471;7206.1;197;4.7;2685;294
57.3;119.5;1.007;22;595;6084.2;170;4;6040;562
82.8;0;4.647;0;0;25069.8;0;17.1;5395;346.9
85.9;169.2;3.486;20;558;10790.4;187;4.3;3095;12
78;168;2.147;20;1226;16767.4;198;6.6;7809;941
80.5;170;2.63;16;994;15793.8;199;18.5;6005;557
83.6;162.6;2.999;10;591;10408.8;194;4.5;3471;226
85.5;167.6;3.431;19;364;6824.6;195;5.7;1989;67
77.7;131.2;2.455;22;83;1612.9;163;4.8;657;20
83.5;160.8;2.931;12;548;10044.1;187;4.6;3427;216
70.7;143.8;1.575;13;531;6282;189;4.4;3988;611
45.7;114.8;0.831;12;500;5291.6;168;1.8;6365;996
84.5;174.5;3.309;16;1000;17390.6;188;5.1;5255;181
84.1;154.6;2.998;14;278;5022.3;169;3.9;1675;53
